group,class,courseId,rawName,level,degree,variant,medium,ss,category,maps,colleges,cutoffs,saves,vacancies,createdAt,canonical
G001,C,69d78e8bac4cdd106017b948,B.Com. Information Technology,after12th,BCOM,,,,IT & Computer,0,0,0,0,0,2026-04-09T11:33:31.076Z,
G001,C,69d78e8bac4cdd106017b97e,B.Tech. Information Technology,after12th,BTECH,,,,IT & Computer,0,0,0,0,0,2026-04-09T11:33:31.078Z,
G001,C,69e2677d9b26658edfffaf3c,B.Tech. Information Technology,after12th,BTECH,,,,Engineering,151,151,0,0,0,2026-04-17T17:01:49.314Z,
G001,C,69e267819b26658edfffaf49,B.Tech. Information Technology (ss),after12th,BTECH,,,yes,Engineering,417,417,0,0,0,2026-04-17T17:01:53.376Z,YES
G001,C,69e2682a43acac003436891e,B.Sc. Information Technology,after12th,BSC,,,,Science,0,0,0,0,0,2026-04-17T17:04:42.568Z,
G001,C,69ea75b43de2eee3fbb4ab09,INFORMATION TECHNOLOGY,after12th,,,,,Engineering,29,29,0,0,0,2026-04-23T19:40:36.742Z,
G001,C,69ea807d32e643c0e37a7a6a,INFORMATION TECHNOLOGY (SS),after12th,,,,yes,Engineering,0,0,0,0,0,2026-04-23T20:26:37.160Z,
G001,C,69ea808532e643c0e37a7a77,INFORMATION TECHNOLOGY (SS),after12th,,,,yes,Engineering,0,0,0,0,0,2026-04-23T20:26:45.245Z,
G002,C,69d78e8bac4cdd106017b951,B.B.A.,after12th,BBA,,,,Commerce,0,0,0,0,0,2026-04-09T11:33:31.077Z,
G002,C,69d78e8bac4cdd106017b942,B.Com.,after12th,BCOM,,,,Commerce,0,0,0,0,0,2026-04-09T11:33:31.076Z,
G002,C,69d78e8bac4cdd106017b991,B. Arch,after12th,BARCH,,,,Architecture,0,0,0,0,0,2026-04-09T11:33:31.078Z,
G002,C,69e2529c6089fd04f8df878c,M.B.B.S,after12th,MBBS,,,,Medical,36,36,0,0,0,2026-04-17T15:32:44.752Z,
G002,C,69e2529c6089fd04f8df878d,BDS,after12th,BDS,,,,Medical,36,36,0,0,0,2026-04-17T15:32:44.927Z,
G002,C,69e2529d6089fd04f8df878e,B.S.M.S,after12th,BSMS,,,,Medical,36,36,0,0,0,2026-04-17T15:32:45.120Z,
G002,C,69e2529d6089fd04f8df878f,B.A.M.S,after12th,BAMS,,,,Medical,36,36,0,0,0,2026-04-17T15:32:45.280Z,
G002,C,69e2529e6089fd04f8df8793,B.V.Sc,after12th,BVSC,,,,Medical,36,36,0,0,0,2026-04-17T15:32:46.050Z,
G002,C,69e2529f6089fd04f8df8796,B.Pharm,after12th,BPHARM,,,,Medical,36,36,0,0,0,2026-04-17T15:32:47.369Z,
G002,C,69e252ad6089fd04f8df87cb,LLB,after12th,LLB,,,,Law,1,1,0,0,0,2026-04-17T15:33:01.750Z,
G002,C,69e252d06089fd04f8df8868,B. Arch.,after12th,BARCH,,,,Architecture,0,0,0,0,0,2026-04-17T15:33:36.051Z,
G002,C,69e2682743acac003436890e,M.B.B.S.,after12th,MBBS,,,,Medical,36,36,0,0,0,2026-04-17T17:04:39.279Z,YES
G002,C,6a678a1cb9a3dd01a953d3a6,BSMS,after12th,BSMS,,,,Medical,8,8,0,0,0,2026-07-27T16:41:00.754Z,
G002,C,6a67917713421e00e0cbf380,BAMS,after12th,BAMS,,,,Medical,8,8,0,0,0,2026-07-27T17:12:23.865Z,
G003,B,69d78e8bac4cdd106017b98a,B.Tech. Food Technology,after12th,BTECH,,,,Engineering,1,1,0,0,0,2026-04-09T11:33:31.078Z,YES
G003,B,69e267809b26658edfffaf45,B.Tech. Food Technology (ss),after12th,BTECH,,,yes,Engineering,0,0,0,0,0,2026-04-17T17:01:52.238Z,
G003,B,69ea6da52b999f13417e10d7,FOOD TECHNOLOGY,after12th,,,,,Engineering,0,0,0,0,0,2026-04-23T19:06:13.949Z,
G003,B,69ea75b13de2eee3fbb4ab03,FOOD TECHNOLOGY (SS),after12th,,,,yes,Engineering,0,0,0,0,0,2026-04-23T19:40:33.285Z,
G003,B,69ea77af44b8d3a98f3fa85c,FOOD TECHNOLOGY (SS),after12th,,,,yes,Engineering,0,0,0,0,0,2026-04-23T19:49:03.339Z,
G004,B,69d78e8bac4cdd106017b954,B.B.A. Retail Management,after12th,BBA,,,,Commerce,0,0,0,0,0,2026-04-09T11:33:31.077Z,
G004,B,69e252af6089fd04f8df87d5,Retail Management,after12th,,,,,Commerce,0,0,0,0,0,2026-04-17T15:33:03.524Z,YES
G005,B,69d78e8bac4cdd106017b95b,B.B.A. Financial Management,after12th,BBA,,,,Commerce,0,0,0,0,0,2026-04-09T11:33:31.077Z,
G005,B,69e252ae6089fd04f8df87cf,Financial Management,after12th,,,,,Commerce,0,0,0,0,0,2026-04-17T15:33:02.434Z,YES
G006,B,69d78e8bac4cdd106017b985,B.Tech. Petroleum Engineering,after12th,BTECH,,,,Engineering,0,0,0,0,0,2026-04-09T11:33:31.078Z,
G006,B,69ea6db32b999f13417e10dc,PETROLEUM ENGINEERING,after12th,,,,,Engineering,0,0,0,0,0,2026-04-23T19:06:27.286Z,YES
