group,class,baseName,level,variant,degree,memberCount,canonicalId,canonicalName,distinctNames,totalMaps,distinctColleges,mapOverlap,totalCutoffs,totalSaves,totalVacancies,names,memberIds
G001,C,Information Technology,after12th,,BCOM/BTECH/BSC,8,69e267819b26658edfffaf49,B.Tech. Information Technology (ss),4,597,446,151,0,0,0,B.Com. Information Technology || B.Tech. Information Technology || B.Tech. Information Technology || B.Tech. Information Technology (ss) || B.Sc. Information Technology || INFORMATION TECHNOLOGY || INFORMATION TECHNOLOGY (SS) || INFORMATION TECHNOLOGY (SS),"[""69d78e8bac4cdd106017b948"",""69d78e8bac4cdd106017b97e"",""69e2677d9b26658edfffaf3c"",""69e267819b26658edfffaf49"",""69e2682a43acac003436891e"",""69ea75b43de2eee3fbb4ab09"",""69ea807d32e643c0e37a7a6a"",""69ea808532e643c0e37a7a77""]"
G002,C,,after12th,,BBA/BCOM/BARCH/MBBS/BDS/BSMS/BAMS/BVSC/BPHARM/LLB,14,69e2682743acac003436890e,M.B.B.S.,12,269,53,216,0,0,0,B.B.A. || B.Com. || B. Arch || M.B.B.S || BDS || B.S.M.S || B.A.M.S || B.V.Sc || B.Pharm || LLB || B. Arch. || M.B.B.S. || BSMS || BAMS,"[""69d78e8bac4cdd106017b951"",""69d78e8bac4cdd106017b942"",""69d78e8bac4cdd106017b991"",""69e2529c6089fd04f8df878c"",""69e2529c6089fd04f8df878d"",""69e2529d6089fd04f8df878e"",""69e2529d6089fd04f8df878f"",""69e2529e6089fd04f8df8793"",""69e2529f6089fd04f8df8796"",""69e252ad6089fd04f8df87cb"",""69e252d06089fd04f8df8868"",""69e2682743acac003436890e"",""6a678a1cb9a3dd01a953d3a6"",""6a67917713421e00e0cbf380""]"
G003,B,Food Technology,after12th,,BTECH,5,69d78e8bac4cdd106017b98a,B.Tech. Food Technology,2,1,1,0,0,0,0,B.Tech. Food Technology || B.Tech. Food Technology (ss) || FOOD TECHNOLOGY || FOOD TECHNOLOGY (SS) || FOOD TECHNOLOGY (SS),"[""69d78e8bac4cdd106017b98a"",""69e267809b26658edfffaf45"",""69ea6da52b999f13417e10d7"",""69ea75b13de2eee3fbb4ab03"",""69ea77af44b8d3a98f3fa85c""]"
G004,B,Retail Management,after12th,,BBA,2,69e252af6089fd04f8df87d5,Retail Management,2,0,0,0,0,0,0,B.B.A. Retail Management || Retail Management,"[""69d78e8bac4cdd106017b954"",""69e252af6089fd04f8df87d5""]"
G005,B,Financial Management,after12th,,BBA,2,69e252ae6089fd04f8df87cf,Financial Management,2,0,0,0,0,0,0,B.B.A. Financial Management || Financial Management,"[""69d78e8bac4cdd106017b95b"",""69e252ae6089fd04f8df87cf""]"
G006,B,Petroleum Engineering,after12th,,BTECH,2,69ea6db32b999f13417e10dc,PETROLEUM ENGINEERING,2,0,0,0,0,0,0,B.Tech. Petroleum Engineering || PETROLEUM ENGINEERING,"[""69d78e8bac4cdd106017b985"",""69ea6db32b999f13417e10dc""]"
G007,B,Marketing Management,after12th,,BBA,2,69e252af6089fd04f8df87d4,Marketing Management,2,0,0,0,0,0,0,B.B.A. Marketing Management || Marketing Management,"[""69d78e8bac4cdd106017b95a"",""69e252af6089fd04f8df87d4""]"
G008,B,Mathematics,after12th,,BSC,2,69e252d36089fd04f8df8879,Mathematics,2,0,0,0,0,0,0,B.Sc. Mathematics || Mathematics,"[""69d78e8bac4cdd106017b95d"",""69e252d36089fd04f8df8879""]"
G009,B,Microbiology,after12th,,BSC,2,69e252d36089fd04f8df887a,Microbiology,2,0,0,0,0,0,0,B.Sc. Microbiology || Microbiology,"[""69d78e8bac4cdd106017b963"",""69e252d36089fd04f8df887a""]"
G010,B,Mechanical Engineering,after12th,,BE,4,69e267749b26658edfffaf33,B.E. Mechanical Engineering (tamil Medium),2,1290,417,873,0,0,0,B.E. Mechanical Engineering || B.E. Mechanical Engineering (Tamil Medium) || B.E. Mechanical Engineering (tamil Medium) || B.E. Mechanical Engineering,"[""69d78e8bac4cdd106017b96d"",""69e252cb6089fd04f8df8854"",""69e267749b26658edfffaf33"",""69e2677b9b26658edfffaf39""]"
G011,B,Economics,after12th,,BA,2,69e252a76089fd04f8df87b1,Economics,2,0,0,0,0,0,0,B.A. Economics || Economics,"[""69d78e8bac4cdd106017b937"",""69e252a76089fd04f8df87b1""]"
G012,B,Corporate Secretaryship,after12th,,BCOM,3,69e2682b43acac0034368922,B.Com Corporate Secretaryship,2,0,0,0,0,0,0,B.Com. Corporate Secretaryship || Corporate Secretaryship || B.Com Corporate Secretaryship,"[""69d78e8bac4cdd106017b945"",""69e252b56089fd04f8df87e1"",""69e2682b43acac0034368922""]"
G013,C,International Busine,after12th,,BBA/BCOM,2,69d78e8bac4cdd106017b953,B.B.A. International Business,2,0,0,0,0,0,0,B.B.A. International Business || B.Com International Business,"[""69d78e8bac4cdd106017b953"",""69d78e8bac4cdd106017b94e""]"
G014,B,Chemistry,after12th,,BSC,2,69e252d16089fd04f8df886e,Chemistry,2,0,0,0,0,0,0,B.Sc. Chemistry || Chemistry,"[""69d78e8bac4cdd106017b95f"",""69e252d16089fd04f8df886e""]"
G015,B,Industrial Engineering,after12th,,BE,3,69ea75ae3de2eee3fbb4aafc,INDUSTRIAL ENGINEERING,2,0,0,0,0,0,0,B.E. Industrial Engineering || B.E. Industrial Engineering || INDUSTRIAL ENGINEERING,"[""69d78e8bac4cdd106017b971"",""69e267839b26658edfffaf57"",""69ea75ae3de2eee3fbb4aafc""]"
G016,B,Robotics And Automation,after12th,,BE,4,69ea808532e643c0e37a7a78,ROBOTICS AND AUTOMATION (SS),2,0,0,0,0,0,0,B.E. Robotics and Automation || B.E. Robotics And Automation (ss) || ROBOTICS AND AUTOMATION || ROBOTICS AND AUTOMATION (SS),"[""69d78e8bac4cdd106017b976"",""69e2677b9b26658edfffaf3a"",""69ea6da52b999f13417e10d6"",""69ea808532e643c0e37a7a78""]"
G017,B,Electrical And Electronics Engineering,after12th,,BE,3,69e267819b26658edfffaf48,B.E. Electrical And Electronics Engineering,2,835,417,418,0,0,0,B.E. Electrical and Electronics Engineering || B.E. Electrical And Electronics Engineering || ELECTRICAL AND ELECTRONICS ENGINEERING,"[""69d78e8bac4cdd106017b979"",""69e267819b26658edfffaf48"",""69ea807c32e643c0e37a7a67""]"
G018,C,Biotechnology,after12th,,BSC/BTECH,2,69d78e8bac4cdd106017b988,B.Tech. Biotechnology,2,1,1,0,0,0,0,B.Sc. Biotechnology || B.Tech. Biotechnology,"[""69d78e8bac4cdd106017b962"",""69d78e8bac4cdd106017b988""]"
G019,B,Aeronautical Engineering,after12th,,BE,2,69ea6da22b999f13417e10d5,AERONAUTICAL ENGINEERING,2,0,0,0,0,0,0,B.E. Aeronautical Engineering || AERONAUTICAL ENGINEERING,"[""69d78e8bac4cdd106017b96b"",""69ea6da22b999f13417e10d5""]"
G020,B,Production Engineering,after12th,,BE,3,69ea75b33de2eee3fbb4ab08,PRODUCTION ENGINEERING,2,0,0,0,0,0,0,B.E. Production Engineering || B.E. Production Engineering || PRODUCTION ENGINEERING,"[""69d78e8bac4cdd106017b970"",""69e267849b26658edfffaf5d"",""69ea75b33de2eee3fbb4ab08""]"
