College Name,Stream,District,Location,State,Fees per Year (\u20B9),Placement %,Rank,Accreditation,Courses Offered (comma-separated)
Manonmaniam Sundaranar University,Arts and Science,Tirunelveli,https://www.google.com/maps/place/Manonmaniam+Sundaranar+University/data=!4m7!3m6!1s0x3b0416d675db74d5:0xa0cb4e948f775b6e!8m2!3d8.7641925!4d77.6489129!16s%2Fm%2F02pyzrw!19sChIJ1XTbddYWBDsRblt3j5ROy6A?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Sarah Tucker College,Arts and Science,Tirunelveli,https://www.google.com/maps/place/Sarah+Tucker+College/data=!4m7!3m6!1s0x3b041274461bb63d:0x5bb591deb6a0c2c2!8m2!3d8.6987549!4d77.7407448!16s%2Fm%2F06wbpwl!19sChIJPbYbRnQSBDsRwsKgtt6RtVs?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
"MDT HINDU COLLEGE ,TIRUNELVELI",Arts and Science,Tirunelveli,"https://www.google.com/maps/place/MDT+HINDU+COLLEGE+,TIRUNELVELI/data=!4m7!3m6!1s0x3b041155f6b7cc85:0x8c925ed028d1eaac!8m2!3d8.721835!4d77.6452946!16s%2Fg%2F11fy_qmt6c!19sChIJhcy39lURBDsRrOrRKNBekow?authuser=0&hl=en&rclk=1",Tamil Nadu,,,,,
Sadakathullah Appa College,Arts and Science,Tirunelveli,https://www.google.com/maps/place/Sadakathullah+Appa+College/data=!4m7!3m6!1s0x3b040de163e52551:0x1c5c59926b1cf203!8m2!3d8.7191428!4d77.7582573!16s%2Fg%2F11gbldn77v!19sChIJUSXlY-ENBDsRA_Ica5JZXBw?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Annai Hajira Women's College,Arts and Science,Tirunelveli,https://www.google.com/maps/place/Annai+Hajira+Women%27s+College/data=!4m7!3m6!1s0x3b041259722d0dfb:0x252b2a0e7cd25d09!8m2!3d8.6845242!4d77.7142457!16s%2Fg%2F11fy_qh7bk!19sChIJ-w0tclkSBDsRCV3SfA4qKyU?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Sardar Raja Arts and Science College,Arts and Science,Tirunelveli,https://www.google.com/maps/place/Sardar+Raja+Arts+and+Science+College/data=!4m7!3m6!1s0x3b048bafffffffff:0xf308c6128894fc9f!8m2!3d8.2496688!4d77.6024548!16s%2Fg%2F11fy_qjzqj!19sChIJ_____6-LBDsRn_yUiBLGCPM?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Saradha College,Arts and Science,Tirunelveli,https://www.google.com/maps/place/Saradha+College/data=!4m7!3m6!1s0x3b040c2d36b4fedb:0x7f1847cda420e1c9!8m2!3d8.7157947!4d77.7926888!16s%2Fg%2F11fy_qbjyd!19sChIJ2_60Ni0MBDsRyeEgpM1HGH8?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
St.Xavier's College,Arts and Science,Tirunelveli,https://www.google.com/maps/place/St.Xavier%27s+College/data=!4m7!3m6!1s0x3b04120419c83ac9:0x99c29bb2b7fbfc30!8m2!3d8.7179671!4d77.7388209!16s%2Fm%2F0gfdfts!19sChIJyTrIGQQSBDsRMPz7t7Kbwpk?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
CSI Jayaraj Annapackiam College,Arts and Science,Tirunelveli,https://www.google.com/maps/place/CSI+Jayaraj+Annapackiam+College/data=!4m7!3m6!1s0x3b0423caf12d33d3:0x6321f428a0654603!8m2!3d8.8697542!4d77.5135714!16s%2Fg%2F11gbldz4fl!19sChIJ0zMt8cojBDsRA0ZloCj0IWM?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Ambai Arts College,Arts and Science,Tirunelveli,https://www.google.com/maps/place/Ambai+Arts+College/data=!4m7!3m6!1s0x3b043bf270b1feb7:0x70dc29df50a71ff3!8m2!3d8.7122006!4d77.4573345!16s%2Fg%2F11gbldxnyv!19sChIJt_6xcPI7BDsR8x-nUN8p3HA?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Thiruvalluvar College,Arts and Science,Tirunelveli,https://www.google.com/maps/place/Thiruvalluvar+College/data=!4m7!3m6!1s0x3b0430b28a99ec4d:0xa8816e26bbcba836!8m2!3d8.7138706!4d77.3663362!16s%2Fg%2F11fy_q9d90!19sChIJTeyZirIwBDsRNqjLuyZugag?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Rani Anna Government College for Women,Arts and Science,Tirunelveli,https://www.google.com/maps/place/Rani+Anna+Government+College+for+Women/data=!4m7!3m6!1s0x3b0411368c95095d:0x840eb7dda9e61184!8m2!3d8.7461316!4d77.6607938!16s%2Fg%2F11g6wckw1f!19sChIJXQmVjDYRBDsRhBHmqd23DoQ?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
SRI PARAMAKALYANI COLLEGE,Arts and Science,Tirunelveli,https://www.google.com/maps/place/SRI+PARAMAKALYANI+COLLEGE/data=!4m7!3m6!1s0x3b043aa4b3442cab:0x2ce80b6566d2c42!8m2!3d8.7836047!4d77.3897854!16s%2Fg%2F11fy_qqh3m!19sChIJqyxEs6Q6BDsRQixtVraAzgI?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
"Pasumpon Muthuramalinga Thevar College, Usilampatti",Arts and Science,Tirunelveli,"https://www.google.com/maps/place/Pasumpon+Muthuramalinga+Thevar+College,+Usilampatti/data=!4m7!3m6!1s0x3b0736b9ac38bfff:0x6c32e0b20ae203b4!8m2!3d9.6855738!4d77.8529372!16s%2Fm%2F010phjg2!19sChIJ_784rLk2BzsRtAPiCrLgMmw?authuser=0&hl=en&rclk=1",Tamil Nadu,,,,,
St.Joseph College of Education,Arts and Science,Tirunelveli,https://www.google.com/maps/place/St.Joseph+College+of+Education/data=!4m7!3m6!1s0x3b046855214532b7:0x3474e8c32667ed4f!8m2!3d8.5038657!4d77.6052799!16s%2Fm%2F0hn86q0!19sChIJtzJFIVVoBDsRT-1nJsPodDQ?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
