Exam Name,Conducting Body,Level,Important Date,Application Link,Official Website,Description,Stream
NEET UG,National Testing Agency (NTA),Undergraduate,Feb–May,https://neet.nta.nic.in,https://neet.nta.nic.in,"National exam for MBBS, BDS, AYUSH and medical courses",Medical
JEE Main,National Testing Agency,Undergraduate,Jan & Apr,https://jeemain.nta.nic.in,https://jeemain.nta.nic.in,National entrance exam for engineering colleges,Engineering
JEE Advanced,IIT Council,Undergraduate,May–Jun,https://jeeadv.ac.in,https://jeeadv.ac.in,Admission to IIT engineering programs,Engineering
CUET UG,National Testing Agency,Undergraduate,Feb–May,https://cuet.samarth.ac.in,https://cuet.samarth.ac.in,Common entrance exam for central universities,General / Multiple Courses
CLAT,Consortium of NLUs,Undergraduate,Aug–Dec,https://consortiumofnlus.ac.in,https://consortiumofnlus.ac.in,Law entrance exam for National Law Universities,Law
AILET,NLU Delhi,Undergraduate,Aug–Dec,https://nationallawuniversitydelhi.in,https://nationallawuniversitydelhi.in,Law entrance exam for NLU Delhi,Law
NATA,Council of Architecture,Undergraduate,Apr–Jul,https://nata.in,https://nata.in,Architecture entrance exam,Architecture
NIFT Entrance Exam,National Institute of Fashion Technology,Undergraduate,Dec–Feb,https://nift.ac.in,https://nift.ac.in,Fashion design entrance exam,Fashion & Design
NID DAT,National Institute of Design,Undergraduate,Oct–Jan,https://nid.edu,https://nid.edu,Design aptitude test,Design
UCEED,IIT Bombay,Undergraduate,Oct–Jan,https://uceed.iitb.ac.in,https://uceed.iitb.ac.in,Design exam for IITs,Design
IISER Aptitude Test,IISER Council,Undergraduate,Apr–Jun,https://iiseradmission.in,https://iiseradmission.in,Admission to IISER science programs,Science
NEST,NISER & UM-DAE CEBS,Undergraduate,Mar–Jun,https://nestexam.in,https://nestexam.in,Science entrance exam for NISER,Science
ICAR AIEEA,National Testing Agency,Undergraduate,Apr–Jun,https://icar.nta.nic.in,https://icar.nta.nic.in,Agriculture entrance exam,Agriculture
NCHM JEE,National Testing Agency,Undergraduate,Feb–May,https://nchmjee.nta.nic.in,https://nchmjee.nta.nic.in,Hotel management entrance exam,Hotel Management
IHM Aurangabad Entrance,IHM Aurangabad,Undergraduate,Feb–May,https://ihmaurangabad.ac.in,https://ihmaurangabad.ac.in,Hotel management program entrance,Hotel Management
AIIMS BSc Nursing,AIIMS,Undergraduate,Feb–Jun,https://aiimsexams.ac.in,https://aiimsexams.ac.in,Nursing entrance exam,Nursing
AIIMS Paramedical,AIIMS,Undergraduate,Feb–Jun,https://aiimsexams.ac.in,https://aiimsexams.ac.in,Paramedical entrance exam,Paramedical
JIPMER Nursing,JIPMER,Undergraduate,Feb–Jun,https://jipmer.edu.in,https://jipmer.edu.in,Nursing entrance exam,Nursing
ISI Admission Test,Indian Statistical Institute,Undergraduate,Feb–May,https://isical.ac.in,https://isical.ac.in,Statistics and mathematics programs,Mathematics / Statistics
CMI Entrance Exam,Chennai Mathematical Institute,Undergraduate,Apr–Jun,https://cmi.ac.in,https://cmi.ac.in,Mathematics and computer science programs,Mathematics / Computer Science
IMU CET,Indian Maritime University,Undergraduate,Mar–May,https://imu.edu.in,https://imu.edu.in,Entrance exam for marine engineering and nautical science,Maritime / Marine Engineering
NID B.Des,National Institute of Design,Undergraduate,Oct–Jan,https://nid.edu,https://nid.edu,Design entrance for B.Des programs,Design
NIFT B.Des,National Institute of Fashion Technology,Undergraduate,Dec–Feb,https://nift.ac.in,https://nift.ac.in,Fashion design entrance exam,Fashion & Design
CEED,IIT Bombay,Undergraduate,Oct–Jan,https://ceed.iitb.ac.in,https://ceed.iitb.ac.in,Design exam for IIT design programs,Design
UCEED,IIT Bombay,Undergraduate,Oct–Jan,https://uceed.iitb.ac.in,https://uceed.iitb.ac.in,Design entrance for IITs,Design
IISER Aptitude Test,IISER Council,Undergraduate,Apr–Jun,https://iiseradmission.in,https://iiseradmission.in,Science research programs,Science
NEST,NISER & CEBS,Undergraduate,Mar–Jun,https://nestexam.in,https://nestexam.in,Entrance for basic science programs,Science
KVPY (historical),IISc / Govt of India,Undergraduate,Oct–Jan,https://kvpy.iisc.ac.in,https://kvpy.iisc.ac.in,Scholarship exam for science students,Science
ISI Admission Test,Indian Statistical Institute,Undergraduate,Feb–May,https://isical.ac.in,https://isical.ac.in,Admission to statistics programs,Mathematics / Statistics
CMI Entrance Exam,Chennai Mathematical Institute,Undergraduate,Apr–Jun,https://cmi.ac.in,https://cmi.ac.in,Mathematics and computer science programs,Mathematics / Computer Science
IAT,IISER Admission Test,Undergraduate,Apr–Jun,https://iiseradmission.in,https://iiseradmission.in,Admission to IISER institutions,Science
