Scholarship Name,Provider,Amount,Eligibility ,Application Link
Vidyadhan Tamil Nadu Plus 1 Scholarship Program 2025,Sarojini Damodaran Foundation,"A maximum of ₹10,000 per annum",Class 11 and 12 school students of the Tamil Nadu state,https://www.buddy4study.com/scholarship/vidyadhan-tamil-nadu-plus-1-scholarship-program
GRT Endowment Scholarship 2025-26,GRT Jewellers,Financial assistance,Class 12 passed students,https://www.buddy4study.com/scholarship/grt-endowment-scholarship-2025-26
Karnataka Students Welfare Society Scholarship Program 2025-26,Karnataka Students Welfare Society,"A scholarship of ₹10,000 - ₹1,00,000","Undergraduate, graduate and postgraduate students",https://www.buddy4study.com/scholarship/karnataka-students-welfare-society-scholarship-program-2025
Shri Tulsi Tanti Udaan Scholarship Program for Graduate Students 2025-26,Suzlon Group,"INR 60,000 per year",For first year B.E./B.Tech. students,https://www.buddy4study.com/page/suzlon-scholarship-program
Shri Tulsi Tanti Udaan Scholarship Program for Diploma Students 2025-26,Suzlon Group,"INR 1,20,000 per year",For first year diploma in engineering students,https://www.buddy4study.com/page/suzlon-scholarship-program
Shri Tulsi Tanti Shakti Scholarship Program for Class 09th Girl Students 2025-26,Suzlon Group,"INR 6,000 per year",For Class 9 girl students,https://www.buddy4study.com/page/suzlon-scholarship-program
Masters' Union: Scholarship-cum-Admission Seats (SAS) Program 2025 (UG in Data Science & Artificial Intelligence),Masters' Union,Tuition fee waiver  of up to 80%,For Undergraduate students,https://www.buddy4study.com/page/masters-union-scholarship-aptitude-test-2026
College Board 90% Fee Waiver Program,College Board,Tuition fee waiver,Class 11 and 12,https://www.buddy4study.com/collegeboard
nurtr Nurturing Minds with Chess Program (90% Fee Waiver) 2025-26,nurtr,90% fee waiver,School or college students under the age range of 5 to 25 years,https://www.buddy4study.com/nurtneo
Buddy4Study Psychometric Test,Buddy4Study,"Report, certificate & many more",Candidates must have passed Class 10 or must be pursuing higher education.,https://www.buddy4study.com/page/buddy4study-career-test
The Kotak Life Insurance Scholarship Program 2025-26,Kotak Life Insurance,"Up to ₹30,000 per year",For first-year B.Com. students from Tamil Nadu and Maharashtra,https://www.buddy4study.com/page/kotak-life-insurance-scholarship-program
Federal Bank Hormis Memorial Foundation Scholarship 2025-26,Federal Bank,100% tuition fees reimbursement & other benefits,1st year undergraduate and graduate students,https://www.buddy4study.com/scholarship/federal-bank-hormis-memorial-foundation-scholarship-2025
Muthoot M George Higher Education Scholarship 2025,Muthoot Finance,"Up to ₹2,40,000","Students pursuing B.Tech, MBBS, or B.Sc Nursing",https://www.buddy4study.com/scholarship/muthoot-m-george-higher-education-scholarship-2025
Tamil Nadu National Talent Search Examination 2026,Government of Tamil Nadu,"An award of ₹6,000 per annum",Class 10 students in Tamil Nadu,https://www.buddy4study.com/scholarship/tamil-nadu-national-talent-search-examination-2026
TSDPL Silver Jubilee Scholarship Program 2025-26 (MBBS / BDS),Tata Steel Downstream Products Limited,"Scholarship of INR 1,00,000",For students pursuing any year of the MBBS or BDS courses,https://www.buddy4study.com/page/tsdpl-silver-jubilee-scholarship-program
Jagadis Bose National Science Talent Search Junior Scholarship Test (JBNSTS) 2025,,"A monthly scholarship of ₹1,250 till completion of Class 12 exams",Class 10 passed students of West Bengal,https://www.buddy4study.com/scholarship/jagadis-bose-national-science-talent-search-junior-scholarship-test-jbnsts
The Cadence Scholarship Program 2025-26,Cadence Design Systems,Financial support for key educational expenses,"For undergraduate students studying in Delhi NCR, Bangalore, Pune, Ahmedabad, or Hyderabad only",https://www.buddy4study.com/page/the-cadence-scholarship-program
Buddy4Study Scholarship Support Programme 2025-26,Buddy4Study,"up to INR 1,00,000 per annum based on the eligibility and selection criteria","For Class 10/12 passouts or studying in Classes 11, 12, or 1st-year UG Students",https://www.buddy4study.com/page/buddy4study-scholarship-support-programme
"Pre-Matric Scholarship for SC, ST and MBC Students (Component-II), Odisha 2024-25",Government of Odisha,Annual scholarships according to course duration,Students studying in Classes 1 to 10,https://www.buddy4study.com/scholarship/pre-matric-scholarship-for-sc-st-and-mbc-students-component-odisha-2024-25
Kotak Junior Scholarship Program 2025-26,Kotak Education Foundation,INR 3000 per month throughout the duration of the program,For Class 11 in MMR,https://www.buddy4study.com/page/kotak-junior-scholarship
