S.No,College Code,College Name,Category,District,Courses Offered
1,201,P T LEE CHENGALVARAYA NAICKER POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,CHENNAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
2,202,RAMAKRISHNA MISSION POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,CHENNAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Automobile Engineering"
3,203,MURUGAPPA POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,CHENNAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
4,204,BHAKTAVATSALAM POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,KANCHIPURAM,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
5,205,AMK TECHNOLOGICAL POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,CHENNAI,"Diploma in Mechanical Engineering, Diploma in Civil Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
6,207,RAJAGOPAL POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,VELLORE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
7,208,MUTHIAH POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,CUDDALORE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
8,209,PSG POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,COIMBATORE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Automobile Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
9,210,CIT SANDWICH POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,COIMBATORE,"Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Tool and Die Engineering"
10,211,SRI RAMAKRISHNA MISSION VIDYALAYA POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,COIMBATORE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
11,212,NACHIMUTHU POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,COIMBATORE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
12,213,SRI KRISHNA POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,CHENNAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
13,214,EIT POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,ERODE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
14,215,SAKTHI POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,ERODE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology, Diploma in Automobile Engineering"
15,216,THIAGARAJAR POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,SALEM,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
16,217,SSM POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,NAMAKKAL,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
17,219,VALIVALAM DESIKAR POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,NAGAPATTINAM,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
18,220,PATTUKKOTTAI POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,THANJAVUR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
19,221,SESHASAYEE INSTITUTE OF TECHNOLOGY,GOVERNMENT AIDED POLYTECHNIC COLLEGES,TIRUCHIRAPPALLI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
20,222,ARULMIGU PALANIANDAVAR POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,DINDIGUL,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
21,223,RUKMINI SHANMUGAM POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,MADURAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
22,224,ANNAMALAI POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,SIVAGANGA,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
23,225,V S VELLAICHAMY NADAR POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,VIRUDHUNAGAR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
