Course Name,Category,Level,Duration,Eligibility,Future Scope
B.Tech Computer Science Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Computer Science related industries
B.Tech Computer Science Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Computer Science related industries
B.Tech Computer Science Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Computer Science related industries
B.Tech Computer Science Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Computer Science related industries
B.Tech Information Technology Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Information Technology related industries
B.Tech Information Technology Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Information Technology related industries
B.Tech Information Technology Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Information Technology related industries
B.Tech Information Technology Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Information Technology related industries
B.Tech Artificial Intelligence Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Artificial Intelligence related industries
B.Tech Artificial Intelligence Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Artificial Intelligence related industries
B.Tech Artificial Intelligence Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Artificial Intelligence related industries
B.Tech Artificial Intelligence Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Artificial Intelligence related industries
B.Tech Artificial Intelligence & Machine Learning Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Artificial Intelligence & Machine Learning related industries
B.Tech Artificial Intelligence & Machine Learning Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Artificial Intelligence & Machine Learning related industries
B.Tech Artificial Intelligence & Machine Learning Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Artificial Intelligence & Machine Learning related industries
B.Tech Artificial Intelligence & Machine Learning Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Artificial Intelligence & Machine Learning related industries
B.Tech Machine Learning Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Machine Learning related industries
B.Tech Machine Learning Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Machine Learning related industries
B.Tech Machine Learning Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Machine Learning related industries
B.Tech Machine Learning Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Machine Learning related industries
B.Tech Data Science Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Data Science related industries
B.Tech Data Science Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Data Science related industries
B.Tech Data Science Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Data Science related industries
B.Tech Data Science Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Data Science related industries
B.Tech Cyber Security Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Cyber Security related industries
B.Tech Cyber Security Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Cyber Security related industries
B.Tech Cyber Security Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Cyber Security related industries
B.Tech Cyber Security Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Cyber Security related industries
B.Tech Software Engineering Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Software Engineering related industries
B.Tech Software Engineering Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Software Engineering related industries
B.Tech Software Engineering Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Software Engineering related industries
B.Tech Software Engineering Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Software Engineering related industries
B.Tech Cloud Computing Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Cloud Computing related industries
B.Tech Cloud Computing Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Cloud Computing related industries
B.Tech Cloud Computing Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Cloud Computing related industries
B.Tech Cloud Computing Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Cloud Computing related industries
B.Tech Blockchain Technology Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Blockchain Technology related industries
B.Tech Blockchain Technology Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Blockchain Technology related industries
B.Tech Blockchain Technology Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Blockchain Technology related industries
B.Tech Blockchain Technology Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Blockchain Technology related industries
B.Tech Internet of Things Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Internet of Things related industries
B.Tech Internet of Things Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Internet of Things related industries
B.Tech Internet of Things Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Internet of Things related industries
B.Tech Internet of Things Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Internet of Things related industries
B.Tech Robotics Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Robotics related industries
B.Tech Robotics Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Robotics related industries
B.Tech Robotics Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Robotics related industries
B.Tech Robotics Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Robotics related industries
B.Tech Mechatronics Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Mechatronics related industries
B.Tech Mechatronics Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Mechatronics related industries
B.Tech Mechatronics Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Mechatronics related industries
B.Tech Mechatronics Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Mechatronics related industries
B.Tech Automation Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Automation related industries
B.Tech Automation Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Automation related industries
B.Tech Automation Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Automation related industries
B.Tech Automation Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Automation related industries
B.Tech Embedded Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Embedded Systems related industries
B.Tech Embedded Systems Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Embedded Systems related industries
B.Tech Embedded Systems Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Embedded Systems related industries
B.Tech Embedded Systems Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Embedded Systems related industries
B.Tech Electronics and Communication Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Electronics and Communication related industries
B.Tech Electronics and Communication Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Electronics and Communication related industries
B.Tech Electronics and Communication Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Electronics and Communication related industries
