Course Name,Category,Level,Duration,Eligibility,Future Scope
MBBS,Medical,12th,4 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BDS,Medical,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BAMS,Medical,12th,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
BHMS,Medical,Undergraduate,5 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BUMS,Medical,Postgraduate,2 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSMS,Medical,10th,5 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BPT,Medical,10th,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
BOT,Medical,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Nursing,Medical,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
BPharm,Medical,Postgraduate,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
PharmD,Medical,10th,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Radiology,Medical,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Medical Lab Technology,Medical,10th,2 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Dialysis Technology,Medical,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Optometry,Medical,12th,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Cardiac Technology,Medical,12th,3 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Respiratory Therapy,Medical,10th,5 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Anesthesia Technology,Medical,12th,2 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Nutrition and Dietetics,Medical,Postgraduate,2 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Public Health,Medical,Diploma,2 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Biotechnology,Medical,10th,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Microbiology,Medical,Diploma,4 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
Computer Science Engineering,Engineering,10th,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Information Technology,Engineering,Undergraduate,2 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Artificial Intelligence,Engineering,Diploma,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Artificial Intelligence & Machine Learning,Engineering,Undergraduate,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Data Science,Engineering,Postgraduate,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Cyber Security,Engineering,Postgraduate,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Software Engineering,Engineering,Postgraduate,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Cloud Computing,Engineering,12th,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Internet of Things,Engineering,12th,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Mechanical Engineering,Engineering,Postgraduate,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Civil Engineering,Engineering,10th,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Electrical Engineering,Engineering,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Electrical & Electronics Engineering,Engineering,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Electronics & Communication Engineering,Engineering,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Chemical Engineering,Engineering,12th,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Aerospace Engineering,Engineering,Diploma,2 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Aeronautical Engineering,Engineering,Postgraduate,5 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Automobile Engineering,Engineering,Undergraduate,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Robotics Engineering,Engineering,Undergraduate,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Mechatronics Engineering,Engineering,10th,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Biomedical Engineering,Engineering,Diploma,5 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
